word, attempts, failed, match loop, required loop, allowed loop
trice, 6849, 51, 1780453, 60869, 4499197
snore, 6900, 51, 1545920, 67285, 3998726
plead, 6924, 51, 1835267, 76676, 4607073
bloat, 6925, 51, 1681255, 68777, 4253590
brute, 6937, 51, 1691081, 61992, 4266358
stalk, 6942, 51, 1549234, 70984, 4000565
unset, 6948, 51, 1701978, 92720, 4613328
melon, 6967, 51, 1953602, 80388, 4856844
sepia, 6981, 51, 1512475, 77563, 3749695
super, 6990, 51, 1451385, 93403, 3814955
corny, 7006, 51, 1914966, 70319, 4743845
fecal, 7039, 51, 1736346, 85193, 4405592
erupt, 7039, 51, 1853612, 101956, 4745073
charm, 7047, 51, 1749637, 82704, 4406268
force, 7050, 51, 1754576, 76906, 4489151
sneak, 7060, 51, 1497125, 65193, 3811341
stock, 7115, 51, 1469405, 109181, 3943054
cavil, 7128, 51, 1896696, 71987, 4669381
plush, 7129, 51, 1734660, 139166, 4553154
sleet, 7151, 51, 1486000, 63237, 3889058
phony, 7177, 51, 2030996, 99026, 5178936
welch, 7249, 51, 1843832, 109241, 4747683
hardy, 7304, 51, 1925456, 78104, 4883439
wench, 7334, 51, 1863461, 110507, 4768017
fleet, 7403, 51, 1704151, 65297, 4441626
trace, 6704, 52, 1716987, 53158, 4293065
crate, 6721, 52, 1653638, 43073, 4086613
shalt, 6790, 52, 1510654, 73181, 3841116
spiel, 6809, 52, 1474735, 81739, 3945957
haunt, 6872, 52, 1955929, 80705, 4878713
ascot, 6878, 52, 1477556, 106740, 3906795
short, 6878, 52, 1547112, 88596, 4015150
heart, 6897, 52, 1858005, 57400, 4578357
berth, 6898, 52, 1638114, 73166, 4183779
boast, 6905, 52, 1531971, 75378, 3855605
first, 6934, 52, 1540431, 105075, 4060596
atone, 6936, 52, 1889305, 58935, 4581667
nadir, 6937, 52, 2040732, 82300, 5113146
leach, 6945, 52, 1913302, 88959, 4723468
shoal, 6945, 52, 1587589, 82315, 3914069
dance, 6948, 52, 1840280, 63960, 4610679
medal, 6952, 52, 1887214, 87226, 4747844
ripen, 6955, 52, 1949296, 95295, 5009474
stage, 6966, 52, 1397684, 62744, 3625074
cried, 6971, 52, 1752396, 68308, 4400152
shard, 6974, 52, 1510468, 67308, 3793403
lemon, 6978, 52, 2010943, 104210, 5093134
filet, 6981, 52, 1708174, 63881, 4338988
adept, 6984, 52, 1724935, 89584, 4464130
false, 6990, 52, 1658025, 83481, 4227649
patch, 6996, 52, 1714206, 99482, 4409586
swath, 7008, 52, 1547500, 92295, 4059767
paler, 7009, 52, 1809621, 59669, 4396132
stony, 7012, 52, 1618718, 81380, 4254957
clued, 7026, 52, 1757717, 81707, 4503667
pause, 7047, 52, 1679471, 74157, 4213011
trawl, 7053, 52, 1888068, 72419, 4663899
ghost, 7055, 52, 1624045, 91097, 4244774
ashen, 7061, 52, 1620902, 93505, 4164444
slide, 7063, 52, 1560562, 69561, 4013903
spark, 7093, 52, 1545324, 76695, 3952168
sower, 7095, 52, 1562676, 80824, 3942917
began, 7113, 52, 1727122, 72331, 4329249
sword, 7128, 52, 1634691, 110608, 4359478
brief, 7129, 52, 1740202, 97012, 4428435
harpy, 7135, 52, 1891124, 85404, 4760140
ditch, 7187, 52, 1773518, 111909, 4683133
epoch, 7263, 52, 1743426, 140641, 4668232
fleck, 7292, 52, 1717102, 88117, 4506347
shady, 7296, 52, 1576770, 63562, 3945023
lance, 6755, 53, 1961728, 78286, 4929138
shirt, 6840, 53, 1530030, 85011, 4003122
pleat, 6841, 53, 1709670, 60024, 4261841
saint, 6843, 53, 1586837, 76439, 3974077
close, 6882, 53, 1543861, 68934, 4006540
steam, 6894, 53, 1413542, 74175, 3666987
price, 6898, 53, 1704088, 68425, 4313037
caper, 6900, 53, 1637715, 69237, 4095254
sedan, 6910, 53, 1510502, 61481, 3766855
saner, 6911, 53, 1528713, 55647, 3770526
brace, 6914, 53, 1639225, 56717, 4105348
retch, 6939, 53, 1753217, 117274, 4695091
solid, 6944, 53, 1699927, 86277, 4226429
skate, 7002, 53, 1485510, 60056, 3845902
spurn, 7021, 53, 1575514, 119217, 4220000
guest, 7037, 53, 1554253, 84071, 4122848
peach, 7062, 53, 1770489, 81447, 4362144
valet, 7063, 53, 1949766, 61528, 4812076
chord, 7077, 53, 1806995, 98399, 4685286
older, 7077, 53, 1909162, 75768, 4842311
batch, 7082, 53, 1669549, 95963, 4301697
mince, 7092, 53, 1853053, 75940, 4769409
voter, 7108, 53, 1872627, 63568, 4672322
fibre, 7121, 53, 1710116, 95160, 4510328
champ, 7130, 53, 1694232, 113751, 4351658
group, 7165, 53, 1927262, 126837, 4918982
slump, 7166, 53, 1530122, 123856, 3995331
slick, 7179, 53, 1582961, 84382, 4105290
abide, 7209, 53, 1908246, 83665, 4828269
peace, 7264, 53, 1783403, 66365, 4459348
pence, 7332, 53, 1808863, 73955, 4673299
shell, 7341, 53, 1520495, 84117, 3954657
plumb, 7416, 53, 1878134, 122847, 4814073
photo, 7469, 53, 1818300, 97687, 4648308
bezel, 7474, 53, 1714413, 55905, 4273805
spoof, 7630, 53, 1557822, 154246, 4250709
salon, 6739, 54, 1622969, 80942, 3981880
plait, 6745, 54, 1787890, 65731, 4450688
rinse, 6779, 54, 1746887, 86239, 4583940
clean, 6846, 54, 1813331, 67627, 4513952
snare, 6862, 54, 1516790, 53885, 3851203
shale, 6884, 54, 1560770, 65747, 3922440
noble, 6895, 54, 2002678, 92988, 5034405
trend, 6898, 54, 1791172, 66384, 4564462
leash, 6910, 54, 1744639, 90064, 4334478
trade, 6918, 54, 1840313, 52395, 4536527
prone, 6929, 54, 1837570, 69294, 4587112
recap, 6933, 54, 1728454, 98151, 4403986
teach, 6934, 54, 1811267, 81791, 4531520
sting, 6966, 54, 1509150, 98519, 3977970
haste, 6968, 54, 1648267, 78433, 4206881
edict, 6999, 54, 1711671, 93693, 4588425
wrath, 7000, 54, 1929473, 65386, 4700142
prawn, 7019, 54, 1853430, 79797, 4544090
perch, 7020, 54, 1688975, 111466, 4397507
ranch, 7031, 54, 1989408, 105833, 4945064
wrest, 7033, 54, 1584464, 86718, 4161092
crypt, 7041, 54, 1659066, 77052, 4337203
bluer, 7058, 54, 1707498, 67803, 4309956
mirth, 7060, 54, 1837122, 93650, 4675976
elfin, 7072, 54, 1981348, 112148, 5203372
smith, 7080, 54, 1499244, 110746, 4042360
frame, 7099, 54, 1785628, 63568, 4453770
taken, 7107, 54, 1928412, 74989, 4882171
human, 7112, 54, 2015396, 103044, 5028749
towel, 7125, 54, 1857622, 82013, 4709471
spoke, 7140, 54, 1451685, 85872, 3895092
bowel, 7148, 54, 1715601, 78547, 4281876
harem, 7148, 54, 1898749, 76734, 4684753
throb, 7148, 54, 1879070, 127129, 4911643
mangy, 7155, 54, 1917815, 84890, 4934090
match, 7156, 54, 1749352, 104357, 4517544
shrew, 7159, 54, 1525210, 106339, 4038749
grime, 7168, 54, 1833420, 73036, 4650633
flyer, 7201, 54, 1740764, 65510, 4578405
beget, 7240, 54, 1618860, 63373, 4169793
mulch, 7292, 54, 1864305, 130507, 4804952
spell, 7328, 54, 1445591, 92204, 3925889
spool, 7359, 54, 1614324, 114814, 4258362
skimp, 7394, 54, 1504978, 132545, 4097333
sweep, 7592, 54, 1495119, 112410, 4171120
laden, 6826, 55, 2007803, 86160, 5054116
share, 6869, 55, 1517108, 55601, 3794816
chart, 6879, 55, 1734066, 66292, 4368463
tried, 6880, 55, 1845551, 62466, 4639518
torch, 6897, 55, 1884873, 105411, 4792303
debut, 6912, 55, 1790570, 116708, 4735781
setup, 6950, 55, 1434263, 103168, 3770361
shorn, 6956, 55, 1682818, 90182, 4273813
tulip, 6958, 55, 1933823, 92831, 4897463
brash, 6982, 55, 1515229, 78028, 3772633
skirt, 6988, 55, 1542224, 84514, 4117989
claim, 6989, 55, 1848063, 83482, 4637335
sweat, 6999, 55, 1469156, 87111, 3849768
blunt, 7001, 55, 1769508, 75493, 4520525
soapy, 7011, 55, 1558992, 77185, 3867700
rabid, 7020, 55, 1913443, 116333, 4947223
tower, 7024, 55, 1829098, 82123, 4635857
tipsy, 7036, 55, 1651349, 114653, 4421687
midst, 7037, 55, 1580831, 105972, 4221458
barge, 7041, 55, 1732840, 65322, 4370107
dirge, 7066, 55, 1852015, 87318, 4796710
begat, 7071, 55, 1624661, 62371, 4068266
swine, 7072, 55, 1598891, 91624, 4277265
ridge, 7078, 55, 1906065, 103188, 5025296
credo, 7089, 55, 1710209, 85645, 4338237
slink, 7089, 55, 1722425, 77543, 4340199
adopt, 7094, 55, 1743649, 91205, 4485574
balmy, 7099, 55, 1791935, 77037, 4519604
clerk, 7102, 55, 1683520, 75338, 4299919
manic, 7121, 55, 1848377, 85235, 4644511
shark, 7128, 55, 1634406, 69474, 4070176
below, 7148, 55, 1734435, 115103, 4389759
doubt, 7154, 55, 1923119, 105175, 4921560
purge, 7173, 55, 1773190, 91742, 4630988
sheik, 7244, 55, 1631092, 85229, 4189962
badly, 7244, 55, 1763195, 62514, 4448552
swarm, 7253, 55, 1586931, 100148, 4132796
pubic, 7341, 55, 1847086, 115517, 4759905
flock, 7345, 55, 1819839, 101790, 4756181
lymph, 7425, 55, 1973374, 149483, 5451196
cabal, 7475, 55, 1788082, 104297, 4605386
spasm, 7549, 55, 1478924, 87471, 3874660
chess, 7589, 55, 1485433, 96324, 3915305
swoop, 7625, 55, 1602270, 156651, 4314049
least, 6638, 56, 1619433, 73345, 4072056
steal, 6721, 56, 1443877, 69173, 3710720
leant, 6743, 56, 1879048, 62594, 4631550
stair, 6749, 56, 1496752, 61900, 3770718
trail, 6856, 56, 1925033, 54158, 4685693
crone, 6861, 56, 1791158, 68565, 4513758
brine, 6878, 56, 1721701, 57024, 4295985
spear, 6897, 56, 1433999, 70008, 3708006
shire, 6901, 56, 1541360, 64469, 3920006
hotel, 6915, 56, 1871069, 63562, 4638971
shine, 6918, 56, 1568611, 65961, 4014780
loser, 6940, 56, 1651938, 76056, 4183259
spout, 6954, 56, 1572422, 116677, 4222426
glade, 6977, 56, 1833357, 67489, 4646561
adult, 6988, 56, 1846721, 90190, 4744775
sonic, 6999, 56, 1570469, 92369, 3947248
prose, 7003, 56, 1571872, 80390, 4075725
salvo, 7035, 56, 1630198, 91815, 4023070
agent, 7042, 56, 1809980, 75826, 4623824
delay, 7045, 56, 1946562, 76124, 4884129
liken, 7048, 56, 2087310, 91953, 5301791
notch, 7056, 56, 1993283, 122276, 5171399
hotly, 7058, 56, 1982454, 68290, 4938074
trump, 7063, 56, 1877190, 107666, 4779764
crawl, 7071, 56, 1831599, 73395, 4455368
unmet, 7079, 56, 1915216, 89456, 5080162
scarf, 7081, 56, 1459829, 105247, 3849044
other, 7083, 56, 1802689, 90706, 4660339
twice, 7089, 56, 1755920, 87076, 4689769
sumac, 7104, 56, 1467223, 101273, 3767946
light, 7120, 56, 1952411, 96097, 5037477
idler, 7134, 56, 1957854, 94084, 5104374
bleak, 7135, 56, 1750601, 71975, 4383027
chalk, 7135, 56, 1895238, 78100, 4689743
shiny, 7138, 56, 1696703, 77055, 4431308
fiber, 7162, 56, 1676571, 94763, 4386060
chide, 7171, 56, 1781301, 78751, 4559178
shake, 7187, 56, 1577463, 68292, 3970762
shown, 7189, 56, 1669045, 139757, 4392837
gulch, 7220, 56, 1855721, 111949, 4778166
welsh, 7230, 56, 1710027, 123148, 4504871
scuba, 7248, 56, 1436148, 117427, 3812592
pouch, 7251, 56, 1926006, 131924, 4877649
imply, 7270, 56, 2040152, 134063, 5560463
maybe, 7281, 56, 1874061, 75028, 4719061
thyme, 7301, 56, 1852960, 89016, 4971497
blimp, 7329, 56, 1766435, 103096, 4545122
shuck, 7338, 56, 1541726, 121199, 4075648
sloop, 7356, 56, 1597517, 110196, 4086264
these, 7363, 56, 1604408, 89351, 4369552
smell, 7370, 56, 1515419, 101066, 4115830
sappy, 7433, 56, 1464994, 80095, 3768935
scoff, 7594, 56, 1484369, 171273, 4072711
cater, 6824, 57, 1614956, 54552, 4020058
tribe, 6897, 57, 1819738, 74026, 4606583
plaid, 6930, 57, 1870104, 77748, 4662035
cloth, 6936, 57, 1769268, 87082, 4540481
glint, 6962, 57, 1879420, 68835, 4804976
moult, 6965, 57, 1937991, 75281, 4776128
prank, 6980, 57, 1882070, 60919, 4578722
wrist, 6980, 57, 1670741, 85679, 4261694
donut, 6991, 57, 1985019, 89935, 4963928
cream, 6992, 57, 1673694, 68075, 4179579
bilge, 6997, 57, 1728327, 68330, 4392771
ramen, 6998, 57, 1929729, 74302, 4820738
glean, 7009, 57, 1846073, 64912, 4611325
grape, 7026, 57, 1746834, 66536, 4406814
broth, 7037, 57, 1751329, 94179, 4431177
bride, 7061, 57, 1729888, 69494, 4343781
globe, 7062, 57, 1723904, 84158, 4439058
dwelt, 7083, 57, 1690446, 79821, 4485774
botch, 7098, 57, 1743443, 111667, 4519883
pasty, 7104, 57, 1567715, 95469, 4109191
niche, 7111, 57, 1966467, 86153, 5003477
wring, 7113, 57, 1958890, 83481, 4836544
world, 7120, 57, 1901364, 94421, 4759578
shied, 7129, 57, 1584868, 71364, 4059755
bland, 7130, 57, 1808767, 74989, 4544487
token, 7136, 57, 1932456, 76482, 4878313
homer, 7139, 57, 1880426, 76624, 4644795
gleam, 7166, 57, 1854723, 79591, 4676385
might, 7181, 57, 1803924, 90542, 4630985
watch, 7184, 57, 1821046, 106942, 4687814
brave, 7186, 57, 1740977, 62945, 4328095
shrub, 7197, 57, 1606598, 133955, 4183181
spike, 7202, 57, 1488805, 85185, 4004102
stove, 7207, 57, 1446189, 74761, 3823888
snaky, 7211, 57, 1623762, 70167, 4141998
chime, 7222, 57, 1764133, 93544, 4585976
chief, 7230, 57, 1822111, 110738, 4742783
tense, 7231, 57, 1676601, 81789, 4458716
pushy, 7247, 57, 1752210, 147775, 4654307
whose, 7270, 57, 1703203, 84806, 4473654
shave, 7271, 57, 1570742, 72502, 3969098
while, 7275, 57, 1965214, 76534, 4980887
flume, 7311, 57, 1847078, 85299, 4731932
drive, 7328, 57, 1919306, 80004, 4833761
knave, 7354, 57, 2034329, 78690, 5184315
hefty, 7367, 57, 1917079, 90550, 5072576
abate, 7379, 57, 1833149, 75356, 4678885
spree, 7398, 57, 1425296, 79878, 3978045
snail, 6867, 58, 1631178, 69470, 4095709
grant, 6869, 58, 1801809, 51165, 4463605
craft, 6877, 58, 1721751, 79144, 4346245
curse, 6887, 58, 1533925, 78539, 4027947
track, 6903, 58, 1857536, 67721, 4602482
relic, 6936, 58, 1847336, 95506, 4670137
earth, 6937, 58, 1828765, 68364, 4502802
horse, 6984, 58, 1754925, 71268, 4442680
sight, 6987, 58, 1490134, 99184, 3880035
forte, 6999, 58, 1736872, 55404, 4332521
yeast, 7004, 58, 1745647, 68415, 4433336
sinew, 7029, 58, 1652409, 95484, 4271200
stand, 7042, 58, 1445540, 62131, 3725849
chard, 7042, 58, 1741966, 69808, 4375250
godly, 7049, 58, 1894617, 73048, 4741375
tubal, 7050, 58, 1856058, 102390, 4745076
carat, 7078, 58, 1737965, 58104, 4374412
scary, 7081, 58, 1483327, 66953, 3819512
