word, attempts, failed, match loop, required loop, allowed loop
borne, 6851, 50, 1925728, 69703, 4859332
stern, 6872, 50, 1622447, 102006, 4449821
short, 6879, 50, 1600750, 114366, 4312686
clasp, 6881, 50, 1683993, 163557, 4670352
scalp, 6895, 50, 1258533, 107312, 3400546
satyr, 6913, 50, 1624291, 90598, 4217248
shire, 6937, 50, 1606921, 90187, 4230714
angst, 6952, 50, 1874973, 176390, 5275546
trope, 6957, 50, 1911677, 114855, 5032546
clash, 6973, 50, 1694504, 139749, 4567103
stamp, 6983, 50, 1395437, 141190, 3928393
cloth, 6985, 50, 1796806, 111579, 4791769
sonic, 6988, 50, 1479559, 86857, 3769202
purse, 7005, 50, 1880247, 155630, 5235250
porch, 7033, 50, 1717084, 139618, 4533085
slack, 7040, 50, 1254707, 70167, 3213060
debit, 7045, 50, 1767624, 85803, 4614929
sepia, 7046, 50, 1442249, 81326, 3683345
sauce, 7051, 50, 1446496, 59580, 3568035
trunk, 7061, 50, 1846957, 92493, 4784912
chase, 7075, 50, 1757318, 93071, 4611759
blown, 7076, 50, 1805085, 122031, 4746160
rebus, 7093, 50, 1769155, 139800, 4696167
smirk, 7117, 50, 1438240, 107412, 3856742
guest, 7155, 50, 1999159, 142172, 5558059
shark, 7192, 50, 1470268, 79113, 3767378
gripe, 7194, 50, 1792606, 93524, 4654707
solve, 7201, 50, 1599099, 85759, 4083283
scamp, 7202, 50, 1231812, 129859, 3427300
slimy, 7204, 50, 1434742, 84203, 3840766
amply, 7214, 50, 1707696, 113408, 4549649
black, 7227, 50, 1448347, 69396, 3725614
still, 7246, 50, 1451880, 84976, 3924786
block, 7278, 50, 1569806, 83160, 4040654
crumb, 7302, 50, 1443763, 99125, 3695751
asset, 7342, 50, 2017946, 182552, 5584259
alert, 6635, 51, 2111826, 102778, 5338466
crest, 6741, 51, 1988964, 165825, 5657502
talon, 6773, 51, 1844567, 79826, 4576739
leapt, 6792, 51, 1966860, 99732, 5062867
pleat, 6799, 51, 1853376, 93294, 4840188
salty, 6819, 51, 1569809, 79363, 4054412
point, 6856, 51, 1917095, 96331, 4979518
pearl, 6860, 51, 1862752, 66820, 4598528
aloft, 6867, 51, 1714353, 120455, 4409450
tribe, 6911, 51, 1676814, 75411, 4313544
spore, 6923, 51, 1568766, 116715, 4327162
place, 6923, 51, 1583980, 68245, 4070644
twirl, 6934, 51, 1778787, 112829, 4713943
skirt, 6934, 51, 1561999, 108391, 4307240
aptly, 6956, 51, 1893200, 113966, 5063098
facet, 6970, 51, 1667111, 70117, 4225529
shunt, 6981, 51, 1566460, 116746, 4255858
foist, 6982, 51, 1885745, 133148, 5018344
smear, 6984, 51, 1461687, 83762, 3873327
bulge, 6984, 51, 1742366, 81419, 4446219
stoke, 6999, 51, 1574999, 99001, 4308977
sadly, 7009, 51, 1418758, 65599, 3612820
scaly, 7010, 51, 1284862, 66600, 3393318
straw, 7013, 51, 1517470, 123653, 4111410
party, 7022, 51, 1912861, 103265, 5025913
prick, 7040, 51, 1632173, 98588, 4268876
pinch, 7043, 51, 1616778, 123817, 4354363
grape, 7051, 51, 1760390, 78296, 4504087
sweat, 7056, 51, 1558367, 115251, 4213228
sworn, 7057, 51, 1547386, 122005, 4207350
sprig, 7066, 51, 1449943, 131857, 4007026
beach, 7102, 51, 1549754, 68796, 3863409
clink, 7103, 51, 1737406, 92923, 4553021
snake, 7109, 51, 1475059, 63644, 3795442
unmet, 7118, 51, 2039264, 106879, 5546277
shame, 7127, 51, 1448821, 74984, 3722122
tempo, 7138, 51, 1724993, 136105, 4617178
match, 7154, 51, 1629569, 116659, 4313882
sumac, 7166, 51, 1291595, 84904, 3335306
spicy, 7181, 51, 1375808, 102866, 3889645
spoke, 7203, 51, 1479015, 113518, 4136376
chasm, 7221, 51, 1610092, 144063, 4383557
roost, 7224, 51, 2043984, 170181, 5549239
sleep, 7250, 51, 1483344, 108764, 4077108
smack, 7322, 51, 1215172, 80216, 3209797
small, 7346, 51, 1318024, 71571, 3452090
slosh, 7537, 51, 1414991, 80246, 3606852
trace, 6813, 52, 1639736, 64147, 4182887
inlet, 6885, 52, 2169815, 108273, 5762306
drape, 6891, 52, 1798492, 80429, 4626802
atone, 6894, 52, 2037094, 78763, 5034190
snore, 6895, 52, 1637126, 95868, 4373393
tuber, 6949, 52, 1636452, 71073, 4247912
torch, 6984, 52, 1742684, 117225, 4549523
blurt, 6990, 52, 1863137, 99859, 4860702
daunt, 6998, 52, 1983767, 102852, 5080064
tubal, 7017, 52, 1519970, 66845, 3838268
front, 7018, 52, 1852840, 98326, 4802353
knelt, 7024, 52, 2106510, 100609, 5685057
slang, 7026, 52, 1306009, 75539, 3351867
glade, 7063, 52, 1578685, 58740, 3986463
chord, 7073, 52, 1776907, 109853, 4647765
sleet, 7130, 52, 1561988, 86395, 4186927
month, 7130, 52, 1899712, 122222, 5005325
surly, 7140, 52, 1554198, 81550, 3982616
nobly, 7148, 52, 1785769, 74823, 4478343
drunk, 7181, 52, 1928281, 94816, 4930352
steel, 7185, 52, 1555005, 89697, 4260074
state, 7196, 52, 1512046, 74358, 4010064
shady, 7207, 52, 1385970, 66069, 3641896
spill, 7392, 52, 1379896, 106665, 3801333
tapir, 6803, 53, 1849292, 94806, 4682271
crept, 6908, 53, 1866892, 132040, 5104653
price, 6938, 53, 1724426, 87975, 4502355
plead, 6952, 53, 1631950, 76732, 4200653
tramp, 6958, 53, 1711633, 127317, 4570004
trash, 6959, 53, 1959203, 167212, 5250171
feast, 6967, 53, 1927607, 135577, 5203872
leash, 6972, 53, 1923891, 135305, 4919567
notch, 6972, 53, 1909451, 136192, 5105557
lurch, 7011, 53, 1794936, 111053, 4578673
ramen, 7034, 53, 1842824, 75779, 4580445
wrist, 7036, 53, 2092673, 194458, 5823005
scout, 7046, 53, 1471312, 116813, 3990473
blank, 7079, 53, 1702887, 76060, 4357261
stank, 7093, 53, 1468120, 98183, 3972164
style, 7117, 53, 1564248, 83104, 4313035
swath, 7137, 53, 1510365, 122158, 4133068
stint, 7181, 53, 1505033, 90927, 4164524
reply, 7185, 53, 1887154, 112635, 4928856
clung, 7188, 53, 1590913, 88138, 4144999
throw, 7203, 53, 1785227, 132109, 4678330
light, 7209, 53, 1774509, 112282, 4618544
epoch, 7244, 53, 1726763, 170980, 4719391
prowl, 7259, 53, 1778390, 122062, 4614306
fetch, 7325, 53, 1695697, 128801, 4633415
smell, 7369, 53, 1360472, 80969, 3740509
swung, 7388, 53, 1429605, 132748, 3913450
sweet, 7484, 53, 1496313, 105926, 4210091
skull, 7504, 53, 1454301, 96883, 3961063
spasm, 7573, 53, 1262552, 98646, 3390936
lupus, 7626, 53, 1784201, 169179, 4909601
satin, 6754, 54, 1586027, 91077, 4048054
plait, 6799, 54, 1800623, 91815, 4662612
slice, 6824, 54, 1403597, 73226, 3682877
petal, 6845, 54, 1842617, 82757, 4731043
bleat, 6854, 54, 1804012, 78653, 4709383
apron, 6912, 54, 1931017, 127809, 4917325
ascot, 6940, 54, 1754954, 141018, 4711187
blare, 6943, 54, 1715857, 58792, 4291028
penal, 6943, 54, 1767322, 69257, 4440506
blond, 6952, 54, 1686769, 69333, 4290820
boast, 6964, 54, 1892673, 136598, 5074386
nicer, 6974, 54, 1915013, 91301, 4968739
spout, 7001, 54, 1599366, 147061, 4446242
faint, 7005, 54, 1861453, 86105, 4736235
nurse, 7023, 54, 2138710, 154150, 5858257
lunch, 7026, 54, 1751098, 120393, 4590772
bugle, 7031, 54, 1718097, 79447, 4387873
prawn, 7036, 54, 1781220, 119703, 4630443
steak, 7057, 54, 1498349, 81120, 3953619
birth, 7060, 54, 1839604, 96615, 4704246
forte, 7061, 54, 1984185, 88888, 5151417
limbo, 7083, 54, 1612544, 100227, 4050045
safer, 7083, 54, 1449671, 75844, 3677319
pitch, 7089, 54, 1696289, 147914, 4675319
guilt, 7091, 54, 1904952, 81996, 4910076
bland, 7107, 54, 1550514, 61754, 3935775
scary, 7120, 54, 1414141, 76582, 3743843
sword, 7129, 54, 1425744, 113556, 3899763
clown, 7136, 54, 1807670, 127801, 4834987
anime, 7137, 54, 1841504, 76858, 4586153
fiber, 7142, 54, 1571206, 58899, 4004487
randy, 7151, 54, 1797666, 71232, 4571738
amend, 7184, 54, 1681908, 93110, 4342485
boost, 7212, 54, 1821902, 112610, 4857473
prism, 7221, 54, 1847112, 234967, 5222806
hyena, 7233, 54, 1924534, 79293, 4921381
plume, 7242, 54, 1700122, 108711, 4519263
flame, 7249, 54, 1591686, 67629, 4089729
vapor, 7254, 54, 1928844, 110280, 4859173
scree, 7263, 54, 1430651, 84581, 3907258
flush, 7271, 54, 1691840, 157548, 4585466
house, 7277, 54, 2110732, 129709, 5567905
butch, 7281, 54, 1592355, 102980, 4194477
adapt, 7300, 54, 1757704, 138361, 4846620
ethos, 7344, 54, 1984540, 168808, 5420827
pushy, 7490, 54, 1703101, 163448, 4828373
skunk, 7551, 54, 1460391, 90905, 3918140
swoop, 7750, 54, 1499543, 165667, 4192059
stare, 6701, 55, 1573377, 74552, 4137694
dealt, 6713, 55, 1889569, 74404, 4785818
roast, 6822, 55, 2030948, 155381, 5314957
taper, 6838, 55, 1855840, 93555, 4758050
shorn, 6893, 55, 1572951, 107864, 4151348
bilge, 6931, 55, 1736528, 65459, 4374533
pedal, 6936, 55, 1650076, 64759, 4148791
stead, 6944, 55, 1425193, 79008, 3786218
plier, 6954, 55, 1903116, 89634, 4920619
suite, 6978, 55, 1660212, 92938, 4373226
float, 6982, 55, 1698198, 78174, 4378232
smile, 6988, 55, 1497750, 86798, 4027584
first, 6991, 55, 1918599, 186391, 5348358
stray, 6991, 55, 1550847, 85443, 4213296
chart, 6994, 55, 1801803, 109320, 4742640
poser, 7072, 55, 1861691, 131067, 5031484
stoic, 7073, 55, 1412050, 96200, 3764412
surge, 7093, 55, 1519008, 96264, 4045502
pansy, 7118, 55, 1808027, 147899, 4988842
bleak, 7145, 55, 1690329, 68249, 4289707
savor, 7167, 55, 1569783, 89541, 3926873
rusty, 7175, 55, 1984360, 157466, 5518056
filth, 7186, 55, 1754630, 110628, 4595897
tease, 7222, 55, 1967490, 127285, 5309200
snack, 7230, 55, 1278830, 72049, 3316526
brawl, 7245, 55, 1797335, 100442, 4560205
pasta, 7298, 55, 1806819, 180614, 5038201
minus, 7310, 55, 1914303, 179216, 5196339
swami, 7311, 55, 1347383, 122153, 3610134
viper, 7330, 55, 1966922, 112722, 5193654
dusty, 7340, 55, 1902336, 146917, 5459278
spiky, 7340, 55, 1461474, 96171, 4082981
graph, 7351, 55, 1754446, 104186, 4454817
sheet, 7374, 55, 1526105, 90908, 4120411
thyme, 7380, 55, 1725321, 103104, 4761383
imply, 7462, 55, 1808597, 130837, 5016498
snoop, 7463, 55, 1510747, 138841, 4119816
twist, 7541, 55, 1823103, 186032, 5224153
shook, 7674, 55, 1510007, 112858, 3942204
train, 6798, 56, 1807204, 71699, 4527003
crate, 6812, 56, 1829975, 69649, 4663701
rinse, 6876, 56, 2022807, 148847, 5533569
cable, 6924, 56, 1619167, 56630, 4028193
truce, 6939, 56, 1740730, 88789, 4605126
artsy, 6950, 56, 2125280, 168574, 5812135
cadet, 6973, 56, 1698766, 68212, 4305553
pinto, 6978, 56, 1927224, 125315, 5106096
adult, 7004, 56, 1805248, 108360, 4666381
filet, 7026, 56, 1884028, 89418, 4943944
perch, 7031, 56, 1680670, 133264, 4464863
moult, 7043, 56, 1940700, 93615, 4900610
fibre, 7055, 56, 1592315, 70671, 4140212
canoe, 7070, 56, 1824662, 58633, 4449984
bused, 7072, 56, 1742623, 117645, 4741726
haunt, 7078, 56, 2083759, 99418, 5269311
bison, 7095, 56, 1885131, 158097, 5051072
faith, 7103, 56, 1869274, 96466, 4686947
truly, 7106, 56, 1888732, 79020, 4800248
midst, 7114, 56, 1812349, 174633, 5171077
throb, 7117, 56, 1581595, 94671, 4062337
hasty, 7118, 56, 2060806, 154636, 5622724
frond, 7124, 56, 1705176, 92223, 4403802
aping, 7139, 56, 1688174, 115409, 4330089
glean, 7139, 56, 1785520, 72639, 4519190
pecan, 7139, 56, 1575729, 76924, 4047885
start, 7153, 56, 1496366, 92240, 3980816
drawl, 7160, 56, 1845814, 106109, 4718487
stick, 7179, 56, 1379271, 90718, 3768339
crowd, 7188, 56, 1725826, 126791, 4565696
mango, 7202, 56, 1705406, 95048, 4312474
suing, 7205, 56, 1457450, 90972, 3759928
gulch, 7215, 56, 1677195, 114763, 4410313
spike, 7223, 56, 1496842, 103955, 4175787
stunk, 7228, 56, 1532630, 102949, 4186399
badge, 7234, 56, 1540256, 56867, 3844615
lingo, 7234, 56, 1812496, 92747, 4567818
gnash, 7248, 56, 1846178, 145642, 4977833
