word, attempts, failed, match loop, required loop, allowed loop
torch, 6984, 52, 5130589, 116307, 7925537
blurt, 6990, 52, 4816129, 99859, 7813694
daunt, 6998, 52, 5064628, 102852, 8160925
tubal, 7017, 52, 5546880, 66811, 7862409
front, 7018, 52, 4615784, 98275, 7559691
knelt, 7024, 52, 4487419, 100558, 8054176
slang, 7026, 52, 5576326, 75539, 7622184
glade, 7063, 52, 5086042, 58706, 7491085
chord, 7073, 52, 5141787, 109377, 8007105
sleet, 7130, 52, 5331730, 86361, 7949110
month, 7130, 52, 4766170, 121968, 7865960
surly, 7140, 52, 5319023, 81550, 7747441
nobly, 7148, 52, 4761069, 74823, 7453643
drunk, 7181, 52, 4771706, 94782, 7770957
steel, 7185, 52, 5379435, 89663, 8076945
state, 7196, 52, 5668543, 74341, 8162177
shady, 7207, 52, 5699919, 66069, 7955845
spill, 7392, 52, 5504915, 106478, 7920712
tapir, 6803, 53, 5062980, 94160, 7889843
crept, 6908, 53, 4856984, 131326, 8085591
price, 6938, 53, 4904454, 87907, 7673411
plead, 6952, 53, 5038651, 75610, 7601153
tramp, 6958, 53, 5210344, 127300, 8065963
trash, 6959, 53, 5540374, 166396, 8819518
feast, 6967, 53, 5305552, 135577, 8581817
leash, 6972, 53, 5286692, 135271, 8279616
notch, 6972, 53, 4871345, 135580, 8055781
lurch, 7011, 53, 4965805, 110526, 7740283
ramen, 7034, 53, 4999542, 74827, 7730894
wrist, 7036, 53, 5066965, 194424, 8791691
scout, 7046, 53, 5527919, 116235, 8036187
blank, 7079, 53, 5215783, 76043, 7866640
stank, 7093, 53, 5497604, 98183, 8001648
style, 7117, 53, 5206061, 83087, 7950636
swath, 7137, 53, 5621292, 121869, 8239050
stint, 7181, 53, 5442896, 90315, 8085888
reply, 7185, 53, 4770832, 112210, 7809170
clung, 7188, 53, 4891303, 87152, 7431236
throw, 7203, 53, 4973348, 132109, 7866451
light, 7209, 53, 4846610, 112248, 7686516
epoch, 7244, 53, 5143537, 170980, 8136165
prowl, 7259, 53, 4868015, 122045, 7698954
fetch, 7325, 53, 5271155, 128682, 8204982
smell, 7369, 53, 5404182, 80952, 7781365
swung, 7388, 53, 5551490, 131779, 8025481
sweet, 7484, 53, 5586372, 105892, 8292829
skull, 7504, 53, 5502437, 96594, 7997307
spasm, 7573, 53, 5856950, 98629, 7981443
lupus, 7626, 53, 5227357, 168958, 8349614
satin, 6754, 54, 5497339, 90465, 7942884
plait, 6799, 54, 4892286, 91781, 7751540
slice, 6824, 54, 5316275, 72784, 7589575
